,Work,Lockdown,Supervisor
2022-12-18,87.0,42.0,62.0
2022-12-19,173.0,34.0,86.0
2022-12-20,155.0,15.0,61.0
2022-12-21,157.0,18.0,65.0
2022-12-23,106.0,9.0,29.0
2022-12-25,38.0,7.0,16.0
2022-12-27,82.0,5.0,27.0
2022-12-28,87.0,14.0,35.0
2023-01-05,176.0,16.0,57.0
2023-01-07,88.0,5.0,26.0
2023-01-08,82.0,2.0,20.0
2023-01-09,167.0,14.0,70.0
2023-01-10,187.0,17.0,85.0
2023-01-12,158.0,16.0,63.0
2023-01-13,168.0,15.0,67.0
2023-01-16,128.0,16.0,62.0
2023-01-17,190.0,11.0,56.0
2023-01-18,172.0,9.0,61.0
2023-01-19,177.0,14.0,72.0
2023-01-20,147.0,19.0,51.0
2023-01-21,75.0,3.0,39.0
2023-01-22,86.0,9.0,40.0
2023-01-23,220.0,15.0,95.0
2023-01-24,200.0,16.0,60.0
2023-01-25,205.0,19.0,71.0
2023-01-26,215.0,14.0,87.0
2023-01-27,220.0,12.0,71.0
2023-01-28,124.0,7.0,65.0
2023-02-01,200.0,18.0,84.0
2023-02-02,207.0,17.0,61.0
2023-02-03,200.0,13.0,82.0
2023-02-06,197.0,13.0,72.0
2023-02-07,203.0,18.0,76.0
2023-02-08,262.0,16.0,91.0
2023-02-09,211.0,11.0,68.0
2023-02-10,218.0,10.0,76.0
2023-02-11,112.0,5.0,56.0
2023-02-12,135.0,14.0,63.0
2023-02-13,195.0,16.0,79.0
2023-02-15,255.0,11.0,104.0
2023-02-16,195.0,17.0,87.0
2023-02-18,101.0,8.0,35.0
2023-02-19,113.0,8.0,39.0
2023-02-20,209.0,14.0,72.0
2023-02-21,205.0,12.0,98.0
2023-02-22,208.0,8.0,79.0
2023-02-25,110.0,8.0,57.0
2023-02-26,101.0,8.0,33.0
2023-02-27,255.0,15.0,76.0
2023-03-01,244.0,8.0,107.0
2023-03-02,249.0,13.0,101.0
2023-03-03,336.0,13.0,134.0
2023-03-04,109.0,7.0,39.0
2023-03-05,122.0,7.0,55.0
2023-03-06,225.0,16.0,96.0
2023-03-09,314.0,11.0,114.0
2023-03-10,352.0,10.0,121.0
2023-03-11,162.0,5.0,60.0
2023-03-12,164.0,17.0,66.0
2023-03-13,1231.0,47.0,442.0
2023-03-14,905.0,23.0,318.0
2023-03-15,897.0,28.0,344.0
2023-03-16,781.0,29.0,264.0
2023-03-17,761.0,28.0,276.0
2023-03-18,218.0,10.0,62.0
2023-03-19,166.0,6.0,57.0
2023-03-20,380.0,16.0,149.0
2023-03-21,321.0,11.0,105.0
2023-03-22,345.0,17.0,106.0
2023-03-23,289.0,18.0,97.0
2023-03-25,133.0,6.0,58.0
2023-03-27,504.0,22.0,144.0
2023-03-28,431.0,15.0,136.0
2023-03-29,458.0,17.0,140.0
2023-03-30,513.0,19.0,151.0
2023-03-31,455.0,16.0,121.0
2020-05-02,34.0,6.0,10.0
2020-05-03,27.0,6.0,12.0
2020-05-04,63.0,22.0,15.0
2020-05-05,73.0,32.0,23.0
2020-05-06,65.0,22.0,15.0
2020-05-07,345.0,143.0,35.0
2020-05-08,55.0,15.0,18.0
2020-05-09,14.0,9.0,12.0
2020-05-11,34.0,6.0,14.0
2020-05-12,67.0,9.0,19.0
2020-05-13,69.0,7.0,25.0
2020-05-20,64.0,10.0,27.0
2020-05-22,95.0,16.0,39.0
2020-05-24,22.0,4.0,14.0
2020-05-26,54.0,15.0,25.0
2020-05-28,42.0,11.0,25.0
2020-05-29,73.0,12.0,28.0
2020-06-02,83.0,7.0,38.0
2020-06-03,68.0,14.0,19.0
2020-06-05,80.0,7.0,36.0
2020-06-07,40.0,3.0,24.0
2020-06-08,50.0,7.0,22.0
2020-06-11,87.0,10.0,48.0
2020-06-13,31.0,1.0,15.0
2020-06-16,83.0,18.0,26.0
2020-06-18,152.0,5.0,58.0
2020-06-20,53.0,7.0,30.0
2020-06-21,31.0,5.0,9.0
2020-06-22,76.0,4.0,29.0
2020-06-23,94.0,9.0,31.0
2020-06-28,35.0,3.0,10.0
2020-07-01,115.0,14.0,46.0
2020-07-02,87.0,14.0,48.0
2020-07-04,44.0,7.0,18.0
2020-07-05,45.0,8.0,12.0
2020-07-07,65.0,15.0,24.0
2020-07-08,77.0,8.0,31.0
2020-07-09,72.0,10.0,35.0
2020-07-10,82.0,6.0,29.0
2020-07-12,36.0,10.0,14.0
2020-07-13,53.0,11.0,24.0
2020-07-14,80.0,12.0,40.0
2020-07-15,99.0,7.0,34.0
2020-07-18,40.0,3.0,20.0
2020-07-19,55.0,4.0,25.0
2020-07-22,101.0,5.0,50.0
2020-07-24,100.0,12.0,27.0
2020-07-27,74.0,12.0,28.0
2020-07-29,70.0,4.0,22.0
2020-08-02,57.0,3.0,19.0
2020-08-04,76.0,15.0,26.0
2020-08-05,111.0,14.0,46.0
2020-08-06,68.0,5.0,31.0
2020-08-08,39.0,7.0,12.0
2020-08-09,58.0,13.0,24.0
2020-08-10,53.0,3.0,22.0
2020-08-12,76.0,4.0,30.0
2020-08-16,56.0,9.0,19.0
2020-08-17,79.0,7.0,21.0
2020-08-21,73.0,7.0,36.0
2020-08-23,25.0,11.0,12.0
2020-08-26,88.0,14.0,29.0
2020-08-27,63.0,23.0,34.0
2020-08-28,94.0,11.0,33.0
2020-08-29,49.0,8.0,15.0
2020-08-30,40.0,2.0,11.0
2020-09-01,91.0,19.0,26.0
2020-09-02,84.0,13.0,23.0
2020-09-03,107.0,14.0,41.0
2020-09-04,83.0,13.0,33.0
2020-09-06,32.0,3.0,14.0
2020-09-09,111.0,9.0,48.0
2020-09-10,137.0,12.0,76.0
2020-09-12,48.0,8.0,19.0
2020-09-13,59.0,2.0,34.0
2020-09-15,105.0,12.0,29.0
2020-09-16,110.0,7.0,52.0
2020-09-17,97.0,15.0,36.0
2020-09-18,93.0,11.0,35.0
2020-09-19,57.0,4.0,18.0
2020-09-20,78.0,6.0,30.0
2020-09-21,128.0,13.0,28.0
2020-09-22,128.0,11.0,60.0
2020-09-24,122.0,7.0,44.0
2020-09-26,73.0,2.0,16.0
2020-09-28,152.0,21.0,64.0
2020-10-03,88.0,11.0,25.0
2020-10-04,80.0,2.0,23.0
2020-10-05,209.0,7.0,51.0
2020-10-09,137.0,10.0,52.0
2020-10-10,84.0,12.0,25.0
2020-10-11,84.0,20.0,41.0
2020-10-12,162.0,15.0,54.0
2020-10-14,147.0,12.0,55.0
2020-10-15,142.0,9.0,52.0
2020-10-17,95.0,7.0,29.0
2020-10-18,134.0,15.0,42.0
2020-10-19,128.0,7.0,45.0
2020-10-20,116.0,24.0,52.0
2020-10-21,189.0,6.0,85.0
2020-10-24,99.0,7.0,42.0
2020-10-27,203.0,7.0,66.0
2020-10-29,162.0,12.0,69.0
2020-10-30,113.0,8.0,53.0
2020-11-03,76.0,6.0,28.0
2020-11-04,81.0,9.0,35.0
2020-11-06,75.0,3.0,36.0
2020-11-07,44.0,5.0,16.0
2020-11-08,55.0,5.0,25.0
2020-11-09,111.0,10.0,44.0
2020-11-10,112.0,12.0,55.0
2020-11-11,114.0,9.0,38.0
2020-11-15,63.0,8.0,36.0
2020-11-16,97.0,10.0,32.0
2020-11-23,144.0,8.0,64.0
2020-11-27,134.0,13.0,53.0
2020-11-29,62.0,10.0,21.0
2020-12-05,57.0,10.0,33.0
2020-12-06,35.0,9.0,19.0
2020-12-07,173.0,8.0,99.0
2020-12-08,680.0,12.0,480.0
2020-12-12,62.0,3.0,13.0
2020-12-14,102.0,20.0,49.0
2020-12-17,75.0,5.0,33.0
2020-12-18,89.0,2.0,40.0
2020-12-20,69.0,10.0,42.0
2020-12-22,53.0,8.0,17.0
2020-12-25,27.0,2.0,15.0
2020-12-28,75.0,11.0,28.0
2020-12-29,59.0,6.0,31.0
2021-01-02,52.0,4.0,15.0
2021-01-03,48.0,8.0,20.0
2021-01-06,76.0,15.0,26.0
2021-01-07,97.0,12.0,37.0
2021-01-09,69.0,8.0,29.0
2021-01-10,64.0,5.0,17.0
2021-01-11,98.0,10.0,30.0
2021-01-14,107.0,7.0,41.0
2021-01-15,119.0,14.0,39.0
2021-01-17,79.0,11.0,28.0
2021-01-18,119.0,10.0,43.0
2021-01-21,129.0,13.0,50.0
2021-01-25,109.0,11.0,34.0
2021-01-26,113.0,4.0,36.0
2021-01-29,128.0,13.0,53.0
2021-02-04,102.0,12.0,34.0
2021-02-06,84.0,10.0,33.0
2021-02-07,53.0,10.0,23.0
2021-02-09,137.0,11.0,61.0
2021-02-12,134.0,14.0,49.0
2021-02-14,123.0,14.0,42.0
2021-02-16,105.0,15.0,42.0
2021-02-18,123.0,13.0,44.0
2021-02-19,89.0,7.0,45.0
2021-02-20,98.0,8.0,40.0
2021-02-26,109.0,9.0,51.0
2021-02-27,68.0,6.0,26.0
2021-03-03,117.0,12.0,52.0
2021-03-04,156.0,12.0,74.0
2021-03-10,170.0,18.0,59.0
2021-03-11,186.0,21.0,71.0
2021-03-13,67.0,7.0,35.0
2021-03-14,92.0,7.0,36.0
2021-03-25,190.0,16.0,67.0
2021-04-04,159.0,3.0,41.0
2021-04-11,149.0,9.0,46.0
2021-04-14,230.0,12.0,75.0
2021-04-18,123.0,12.0,34.0
2021-04-21,231.0,14.0,67.0
2021-04-22,212.0,24.0,57.0
2021-04-26,164.0,18.0,60.0
2021-05-01,89.0,3.0,30.0
2021-05-06,158.0,14.0,55.0
2021-05-10,172.0,17.0,58.0
2021-05-12,154.0,7.0,61.0
2021-05-14,155.0,14.0,60.0
2021-05-16,71.0,5.0,30.0
2021-05-18,173.0,16.0,65.0
2021-05-19,173.0,13.0,67.0
2021-05-21,161.0,11.0,56.0
2021-05-22,67.0,5.0,12.0
2021-05-24,113.0,10.0,58.0
2021-05-25,125.0,18.0,60.0
2021-05-26,129.0,9.0,43.0
2021-05-28,137.0,5.0,50.0
2021-05-30,42.0,10.0,21.0
2021-06-01,161.0,19.0,71.0
2021-06-02,96.0,13.0,37.0
2021-06-03,100.0,8.0,43.0
2021-06-04,111.0,4.0,53.0
2021-06-05,68.0,4.0,23.0
2021-06-06,87.0,20.0,33.0
2021-06-08,150.0,17.0,59.0
2021-06-10,112.0,12.0,42.0
2021-06-13,59.0,5.0,24.0
2021-06-16,120.0,9.0,48.0
2021-06-17,142.0,18.0,47.0
2021-06-18,276.0,9.0,96.0
2021-06-19,92.0,8.0,31.0
2021-06-20,56.0,8.0,29.0
2021-06-26,97.0,8.0,39.0
2021-06-27,76.0,5.0,35.0
2021-06-28,119.0,14.0,44.0
2021-07-01,200.0,15.0,74.0
2021-07-02,253.0,7.0,178.0
2021-07-03,71.0,10.0,27.0
2021-07-05,141.0,5.0,36.0
2021-07-06,134.0,6.0,60.0
2021-07-07,150.0,11.0,71.0
2021-07-09,117.0,13.0,36.0
2021-07-11,71.0,6.0,29.0
2021-07-12,150.0,7.0,80.0
2021-07-16,157.0,17.0,75.0
2021-07-17,60.0,6.0,17.0
2021-07-20,111.0,12.0,29.0
2021-07-21,156.0,26.0,65.0
2021-07-23,124.0,13.0,57.0
2021-07-24,46.0,4.0,13.0
2021-07-25,64.0,9.0,29.0
2021-07-27,152.0,12.0,50.0
2021-07-29,146.0,10.0,43.0
2021-08-01,57.0,4.0,20.0
2021-08-02,107.0,6.0,43.0
2021-08-04,119.0,11.0,43.0
2021-08-07,77.0,7.0,33.0
2021-08-09,142.0,8.0,66.0
2021-08-11,225.0,10.0,75.0
2021-08-14,59.0,9.0,12.0
2021-08-18,132.0,9.0,55.0
2021-08-19,147.0,13.0,63.0
2021-08-21,67.0,6.0,27.0
2021-08-22,53.0,6.0,23.0
2021-08-23,176.0,12.0,75.0
2021-08-25,136.0,6.0,68.0
2021-08-26,121.0,11.0,49.0
2021-08-28,72.0,6.0,34.0
2021-09-02,144.0,8.0,72.0
2021-09-03,127.0,12.0,60.0
2021-09-04,76.0,7.0,26.0
2021-09-05,77.0,3.0,24.0
2021-09-09,204.0,9.0,108.0
2021-09-11,63.0,2.0,19.0
2021-09-12,82.0,5.0,38.0
2021-09-16,135.0,9.0,48.0
2021-09-17,158.0,22.0,55.0
2021-09-22,148.0,3.0,54.0
2021-09-25,96.0,8.0,42.0
2021-10-06,200.0,12.0,67.0
2021-10-10,116.0,10.0,37.0
2021-10-11,168.0,13.0,54.0
2021-10-12,154.0,13.0,51.0
2021-10-20,192.0,12.0,71.0
2021-10-21,209.0,11.0,68.0
2021-10-23,79.0,4.0,35.0
2021-10-25,200.0,8.0,72.0
2021-10-26,193.0,12.0,71.0
2021-10-27,200.0,8.0,83.0
2021-10-28,166.0,6.0,63.0
2021-10-29,154.0,4.0,67.0
2021-11-02,136.0,3.0,62.0
2021-11-04,171.0,12.0,76.0
2021-11-06,87.0,5.0,33.0
2021-11-07,100.0,4.0,39.0
2021-11-08,174.0,8.0,86.0
2021-11-09,136.0,10.0,36.0
2021-11-11,183.0,17.0,66.0
2021-11-12,217.0,13.0,80.0
2021-11-13,105.0,10.0,40.0
2021-11-14,83.0,4.0,28.0
2021-11-17,201.0,11.0,81.0
2021-11-27,79.0,10.0,42.0
2021-11-29,141.0,18.0,51.0
2021-12-02,198.0,11.0,80.0
2021-12-03,204.0,18.0,85.0
2021-12-08,221.0,15.0,106.0
2021-12-10,121.0,16.0,50.0
2021-12-11,91.0,8.0,39.0
2021-12-12,110.0,10.0,61.0
2021-12-18,79.0,5.0,35.0
2021-12-24,86.0,5.0,35.0
2021-12-26,66.0,7.0,17.0
2021-12-27,93.0,13.0,38.0
2021-12-29,108.0,30.0,43.0
2021-12-30,94.0,8.0,28.0
2022-01-01,74.0,2.0,28.0
2022-01-02,72.0,5.0,31.0
2022-01-04,135.0,16.0,58.0
2022-01-07,119.0,9.0,54.0
2022-01-15,80.0,7.0,33.0
2022-01-21,150.0,12.0,70.0
2022-01-22,75.0,6.0,41.0
2022-01-26,182.0,15.0,101.0
2022-01-27,192.0,19.0,83.0
2022-01-28,170.0,12.0,76.0
2022-01-30,83.0,12.0,56.0
2022-02-04,145.0,12.0,61.0
2022-02-05,107.0,9.0,42.0
2022-02-08,162.0,19.0,63.0
2022-02-11,198.0,9.0,76.0
2022-02-13,60.0,14.0,18.0
2022-02-14,161.0,2.0,51.0
2022-02-19,67.0,6.0,36.0
2022-02-20,89.0,22.0,53.0
2022-02-22,167.0,19.0,71.0
2022-02-25,105.0,9.0,28.0
2022-02-27,52.0,3.0,19.0
2022-03-01,127.0,8.0,47.0
2022-03-05,115.0,8.0,60.0
2022-03-10,150.0,9.0,62.0
2022-03-12,101.0,8.0,46.0
2022-03-26,188.0,11.0,84.0
2022-04-04,417.0,15.0,102.0
2022-04-05,366.0,23.0,115.0
2022-04-10,145.0,14.0,33.0
2022-04-14,332.0,25.0,96.0
2022-04-15,238.0,26.0,84.0
2022-04-16,116.0,14.0,56.0
2022-04-22,219.0,19.0,64.0
2022-04-24,121.0,5.0,35.0
2022-04-26,332.0,29.0,121.0
2022-05-02,218.0,21.0,90.0
2022-05-09,210.0,17.0,80.0
2022-05-12,228.0,11.0,80.0
2022-05-15,98.0,10.0,30.0
2022-05-23,157.0,13.0,65.0
2022-05-26,161.0,14.0,73.0
2022-05-28,104.0,7.0,32.0
2022-05-29,99.0,10.0,32.0
2022-06-02,137.0,11.0,45.0
2022-06-08,194.0,11.0,66.0
2022-06-10,235.0,17.0,55.0
2022-06-11,151.0,8.0,47.0
2022-06-13,189.0,10.0,68.0
2022-06-14,139.0,7.0,51.0
2022-06-17,200.0,7.0,72.0
2022-06-18,237.0,15.0,73.0
2022-06-20,177.0,17.0,77.0
2022-06-22,220.0,21.0,73.0
2022-06-26,86.0,11.0,29.0
2022-07-02,98.0,2.0,33.0
2022-07-03,72.0,4.0,41.0
2022-07-04,127.0,15.0,47.0
2022-07-05,271.0,9.0,73.0
2022-07-07,157.0,14.0,69.0
2022-07-10,92.0,8.0,52.0
2022-07-11,161.0,16.0,65.0
2022-07-12,187.0,13.0,70.0
2022-07-17,100.0,8.0,42.0
2022-07-18,186.0,9.0,68.0
2022-07-20,236.0,15.0,100.0
2022-07-21,197.0,13.0,85.0
2022-07-22,129.0,6.0,61.0
2022-07-24,77.0,3.0,46.0
2022-08-04,149.0,5.0,62.0
2022-08-05,161.0,14.0,67.0
2022-08-06,113.0,13.0,27.0
2022-08-08,126.0,16.0,35.0
2022-08-13,68.0,6.0,20.0
2022-08-14,72.0,10.0,31.0
2022-08-18,130.0,17.0,55.0
2022-08-20,107.0,6.0,36.0
2022-08-21,97.0,7.0,33.0
2022-08-26,179.0,15.0,48.0
2022-08-27,104.0,9.0,34.0
2022-09-01,176.0,6.0,52.0
2022-09-02,148.0,8.0,48.0
2022-09-04,96.0,9.0,33.0
2022-09-08,158.0,6.0,51.0
2022-09-09,139.0,6.0,46.0
2022-09-12,154.0,14.0,51.0
2022-09-13,155.0,11.0,64.0
2022-09-15,202.0,18.0,64.0
2022-09-18,102.0,11.0,31.0
2022-09-24,94.0,6.0,36.0
2022-09-26,242.0,15.0,97.0
2022-09-29,178.0,15.0,83.0
2022-10-01,126.0,8.0,46.0
2022-10-06,294.0,18.0,78.0
2022-10-09,104.0,12.0,47.0
2022-10-11,208.0,14.0,67.0
2022-10-14,249.0,15.0,94.0
2022-10-15,120.0,17.0,43.0
2022-10-16,104.0,6.0,30.0
2022-10-20,231.0,10.0,86.0
2022-10-21,238.0,11.0,77.0
2022-10-23,115.0,12.0,33.0
2022-10-27,248.0,9.0,126.0
2022-10-28,214.0,12.0,79.0
2022-11-01,254.0,12.0,81.0
2022-11-06,98.0,12.0,41.0
2022-11-08,181.0,15.0,75.0
2022-11-09,200.0,11.0,80.0
2022-11-12,102.0,7.0,36.0
2022-11-14,176.0,10.0,67.0
2022-11-22,207.0,8.0,76.0
2022-11-25,134.0,11.0,48.0
2022-11-26,95.0,9.0,34.0
2022-11-27,73.0,6.0,13.0
2022-12-04,124.0,34.0,39.0
2022-12-08,146.0,11.0,70.0
2022-12-09,118.0,11.0,44.0
2022-12-11,66.0,8.0,26.0
2022-12-13,140.0,13.0,53.0
2022-12-16,150.0,8.0,57.0
2022-12-17,85.0,10.0,31.0
2022-12-22,111.0,23.0,52.0
2022-12-24,73.0,13.0,30.0
2022-12-26,51.0,3.0,19.0
2022-12-29,108.0,21.0,48.0
2022-12-30,90.0,12.0,34.0
2023-01-01,74.0,1.0,32.0
2023-01-02,93.0,17.0,26.0
2023-01-03,163.0,26.0,65.0
2023-01-04,169.0,16.0,56.0
2023-01-06,136.0,8.0,48.0
2023-01-11,207.0,14.0,77.0
2023-01-14,103.0,3.0,43.0
2023-01-15,78.0,4.0,30.0
2023-01-29,84.0,8.0,36.0
2023-01-30,193.0,8.0,78.0
2023-02-04,98.0,7.0,39.0
2023-02-05,100.0,9.0,38.0
2023-02-14,156.0,16.0,59.0
2023-02-17,196.0,9.0,75.0
2023-02-23,189.0,15.0,70.0
2023-02-24,195.0,16.0,72.0
2023-03-07,288.0,25.0,120.0
2023-03-08,363.0,13.0,132.0
2023-03-24,301.0,18.0,93.0
2023-03-26,152.0,9.0,41.0
2020-05-10,38.0,4.0,9.0
2020-05-14,66.0,13.0,19.0
2020-06-06,27.0,2.0,3.0
2020-06-19,84.0,4.0,23.0
2020-07-20,75.0,4.0,23.0
2020-09-07,64.0,12.0,24.0
2021-01-23,85.0,4.0,20.0
2021-05-27,186.0,19.0,68.0
2021-08-29,64.0,2.0,27.0
2021-11-20,70.0,6.0,20.0
2021-12-25,67.0,8.0,21.0
2022-02-12,75.0,12.0,26.0
2020-07-11,32.0,2.0,19.0
